"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"광명3동 158-1044대 맞은편",1,경기도 광명시 장미1길10,경기도 광명시 광명동 158-220,37.4807435,126.8519031,1990,한전주,02-2680-6603,광명3동주민센터,2020-12-14
"광명2동 139-3대 맞은편",1,경기도 광명시 광명시장4길3,경기도 광명시 광명동 138-10,37.4809501,126.8565495,1990,한전주,02-2680-6603,광명3동주민센터,2020-12-14
"광명3동 127-5대 맞은편",1,경기도 광명시 새롬길72,경기도 광명시 광명동 126-4,37.4799935,126.8597486,1990,건축물,02-2680-6603,광명3동주민센터,2020-12-14
"하안자동차옆",1,,경기도 광명시 하안동 612-1,37.4597885,126.8743411,1990,한전주,02-2680-6612,하안1동주민센터,2020-12-14
"광성교회옆",1,,경기도 광명시 하안동 612-1,37.4593905,126.8737292,1990,한전주,02-2680-6612,하안1동주민센터,2020-12-14
"광명3동 34-9대 인근",1,경기도 광명시 오리로 938번길 10-2,경기도 광명시 광명동 34-7,37.4788732,126.8594511,1980,건축물,02-2680-6603,광명3동주민센터,2020-12-14
"광명3동 26-15대 맞은편",1,경기도 광명시 광명로 928번길 42-19,경기도 광명시 광명동 28-16,37.4796944,126.8597571,1980,한전주,02-2680-6603,광명3동주민센터,2020-12-14
"광명2동 78-29대 인근",1,경기도 광명시 명일로91번길 5,경기도 광명시 광명2동 78-29,37.4818313,126.8610906,2007,한전주,02-2680-6602,광명2동주민센터,2020-12-14
"가리대3길 5-6",1,경기도 광명시 가리대3길 5-6,경기도 광명시 소하동12,37.4493806,126.8779813,2014,한전주,02-2680-5336,소하1동주민센터,2020-12-14
"삼흥연립앞",1,경기도 광명시 금하로 527번길,경기도 광명시 소하동36-14,37.452319,126.889968,2015,건축물,02-2680-5336,소하1동주민센터,2020-12-14
"뚝방길 79",1,경기도 광명시 뚝방길 79,경기도 광명시 소하동701-3,37.437081,126.899332,2015,건축물,02-2680-5336,소하1동주민센터,2020-12-14
"수간도로",1,,경기도 광명시 소하동427-2,37.4448063,126.8866601,2014,한전주,02-2680-5336,소하1동주민센터,2020-12-14
"수간도로",1,,경기도 광명시 소하동812-5,37.444537,126.8876821,2014,한전주,02-2680-5336,소하1동주민센터,2020-12-14
"광명3동 158-57대 맞은편",1,경기도 광명시 광명시장2길,경기도 광명시 광명동 158-31,37.4804002,126.8555974,2006,한전주,02-2680-6603,광명3동주민센터,2020-12-14
"광명3동 158-1275대 인근",1,경기도 광명시 광명시장5길,경기도 광명시 광명동 158-962,37.4805565,126.8559488,2006,한전주,02-2680-6603,광명3동주민센터,2020-12-14
"광명3동 138-8대 맞은편",1,경기도 광명시 광명시장4길,경기도 광명시 광명동 158-962,37.4804831,126.8562881,2006,한전주,02-2680-6603,광명3동주민센터,2020-12-14
"시온선교회옆",1,경기도 광명시 안재로14번길 12,경기도 광명시 하안동 601-1,37.4599868,126.8727335,1990,한전주,02-2680-6612,하안1동주민센터,2020-12-14
