"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"금정동001",1,경기도 군포시 번영로 557번길 26-11,경기도 군포시 금정동 715-5,37.36142609,126.9371618,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동002",1,경기도 군포시 번영로 587번안길 84,경기도 군포시 금정동 715-7,37.36170528,126.9369076,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동003",1,경기도 군포시 번영로 587번안길 84,경기도 군포시 금정동 715-7,37.36183365,126.9368595,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동004",1,경기도 군포시 번영로 557번길 46-12,경기도 군포시 금정동 715-10,37.36207909,126.9366928,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동005",1,경기도 군포시 번영로 557번길 32,경기도 군포시 금정동 718-9,37.36140761,126.9362926,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동006",1,경기도 군포시 번영로 557번길 38,경기도 군포시 금정동 718-12,37.36168235,126.9361541,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동007",1,경기도 군포시 번영로 557번길 42,경기도 군포시 금정동 718-13,37.36189177,126.9360326,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동008",1,경기도 군포시 번영로 557번길 44,경기도 군포시 금정동 718,37.36208542,126.9359082,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동009",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 717,37.36232412,126.9357641,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동010",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 817,37.36252927,126.9360073352,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동011",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 817,37.36287423,126.9366724,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동012",1,경기도 군포시 번영로 561번길 69,경기도 군포시 금정동 717-5,37.36269162,126.9363847,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동013",1,경기도 군포시 번영로 561번안길 10,경기도 군포시 금정동 717-3,37.36247791,126.9369154,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동014",1,경기도 군포시 번영로 557번길 46-11,경기도 군포시 금정동 717-4,37.36236964,126.9366474,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동015",1,경기도 군포시 번영로 557번길 46-11,경기도 군포시 금정동 717-4,37.36229746,126.936464,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동016",1,경기도 군포시 번영로 561번안길 14,경기도 군포시 금정동 715-12,37.36227076,126.9370792,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동017",1,경기도 군포시 번영로 561번안길 22,경기도 군포시 금정동 715-15,37.36201404,126.9372121,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동018",1,경기도 군포시 번영로 561번안길 29,경기도 군포시 금정동 716-21,37.36156146,126.9375596,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동019",1,경기도 군포시 번영로 561번길 59,경기도 군포시 금정동 716,37.36309516,126.9369911,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동019-1",1,경기도 군포시 번영로 557번길 52,경기도 군포시 금정동 817,37.36309977,126.9371999,2020,한전주,031-390-3643,군포시청,2021-05-25
"금정동020",1,경기도 군포시 번영로 561번길 59,경기도 군포시 금정동 716,37.36325304,126.9373719,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동021",1,경기도 군포시 번영로 561번길 41,경기도 군포시 금정동 716-1,37.36268773,126.9375276,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동022",1,경기도 군포시 번영로 561번길 37,경기도 군포시 금정동 716-2,37.36249405,126.9376124,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동023",1,경기도 군포시 번영로 561번길 33,경기도 군포시 금정동 716-12,37.36233416,126.9376859,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동024",1,경기도 군포시 번영로 561번길 23,경기도 군포시 금정동 716-15,37.3619626,126.9379148,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동025",1,경기도 군포시 번영로 561번길 19,경기도 군포시 금정동 716-20,37.36164492,126.9377824,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동026",1,경기도 군포시 번영로 561번길 5,경기도 군포시 금정동 719-3,37.3612689,126.9380847,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동027",1,경기도 군포시 번영로 587번안길 63,경기도 군포시 금정동 719-2,37.36115386,126.9377716,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동028",1,경기도 군포시 번영로 587번안길 63,경기도 군포시 금정동 719-2,37.3611649,126.9373539,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동029",1,경기도 군포시 금산로 33번길 115,경기도 군포시 금정동 713-1,37.3619132,126.9382084,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동030",1,경기도 군포시 금산로 33번길 111,경기도 군포시 금정동 713-2,37.36193365,126.9385554,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동031",1,경기도 군포시 금산로 33번길,경기도 군포시 금정동 356-13,37.36226263,126.9387612,2019,한전주,031-390-3643,군포시청,2021-05-25
"금정동032",1,경기도 군포시 금산로 33번길,경기도 군포시 금정동 356-143,37.36258938,126.9390036,2019,전용주,031-390-3643,군포시청,2021-05-25
"금정동033",1,경기도 군포시 금산로 33번길,경기도 군포시 금정동 356-12,37.36279443,126.9391305,2019,전용주,031-390-3643,군포시청,2021-05-25
"금정동034",1,경기도 군포시 금산로 33번길 79,경기도 군포시 금정동 711-8,37.36308963,126.939356,2019,전용주,031-390-3643,군포시청,2021-05-25
"금정동035",1,경기도 군포시 금산로 33번길 77,경기도 군포시 금정동 711-7,37.36330145,126.9394969,2019,전용주,031-390-3643,군포시청,2021-05-25
"금정동036",1,경기도 군포시 금산로 33번길,경기도 군포시 금정동 356-12,37.36348844,126.939556,2019,전용주,031-390-3643,군포시청,2021-05-25
"금정동037",1,경기도 군포시 금산로 33번길,경기도 군포시 금정동 356-12,37.36364155,126.9394204,2019,전용주,031-390-3643,군포시청,2021-05-25
"금정동038",1,경기도 군포시 금산로 33번길 63,경기도 군포시 금정동 709-13,37.36370671,126.9391184,2019,전용주,031-390-3643,군포시청,2021-05-25
