"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감정동0001",1,김포대로 177-13,감정동 448-2,37.627683,,,,031-980-2348,도로관리과,2021-09-29
"감정동0002",1,,감정동 448-2,37.627479,126.702012,,,031-980-2348,도로관리과,2021-09-29
"감정동0003",1,김포대로 177-28,감정동 456-1,37.627435,126.701998,,,031-980-2348,도로관리과,2021-09-29
"감정동0004",1,평리길 131-18,감정동 448-13,37.627163,126.702084,,,031-980-2348,도로관리과,2021-09-29
"감정동0005",1,평리길 131-7,감정동 448-13,37.627139,126.702114,,,031-980-2348,도로관리과,2021-09-29
"감정동0006",1,평리길 131,감정동 448-14,37.627189,126.702242,,,031-980-2348,도로관리과,2021-09-29
"감정동0007",1,평리길 131,북변동 203-4,37.627215,126.702462,,,031-980-2348,도로관리과,2021-09-29
"감정동0008",1,평리길 130-9,감정동 664,37.626927,126.701876,,,031-980-2348,도로관리과,2021-09-29
"감정동0009",1,평리길 127,감정동 670,,126.702098,,,031-980-2348,도로관리과,2021-09-29
"감정동0010",1,평리길 126-12,북변동 770,37.626594,126.702177,,,031-980-2348,도로관리과,2021-09-29
"감정동0011",1,평리길 126-12,감정동 671,37.626418,126.702351,,,031-980-2348,도로관리과,2021-09-29
"감정동0012",1,,북변동 783,37.626095,126.702679,,,031-980-2348,도로관리과,2021-09-29
"감정동0013",1,,북변동 794,37.625942,126.702849,,,031-980-2348,도로관리과,2021-09-29
"감정동0014",1,평리길 124-2,북변동 794,37.625896,126.702872,,,031-980-2348,도로관리과,2021-09-29
"감정동0015",1,,감정동 553-10,37.621635,126.700029,,,031-980-2348,도로관리과,2021-09-29
"감정동0016",1,,감정동 553-10,37.621532,126.700344,,,031-980-2348,도로관리과,2021-09-29
"감정동0017",1,전호로56번길 33,감정동 553-10,37.621421,126.700702,,,031-980-2348,도로관리과,2021-09-29
"감정동0018",1,전호로56번길 40,감정동 553,37.621379,,,,031-980-2348,도로관리과,2021-09-29
"감정동0019",1,전호로56번길 49,감정동 598-43,,126.701616,,,031-980-2348,도로관리과,2021-09-29
"감정동0020",1,전호로56번길 56,감정동 598-36,37.621382,126.702055,,,031-980-2348,도로관리과,2021-09-29
"감정동0021",1,전호로2번길 67,감정동 598-5,37.621483,126.702317,,,031-980-2348,도로관리과,2021-09-29
"감정동0022",1,전호로26번길 4,감정동 598-35,37.621563,126.702792,,,031-980-2348,도로관리과,2021-09-29
"감정동0023",1,전호로2번길 66,감정동 598-35,37.621457,126.703145,,,031-980-2348,도로관리과,2021-09-29
"감정동0024",1,전호로2번길 19-34,감정동 598-6,37.621257,126.703133,,,031-980-2348,도로관리과,2021-09-29
"감정동0025",1,전호로2번길 19-16,감정동 598-30,37.621254,126.703704,,,031-980-2348,도로관리과,2021-09-29
"감정동0026",1,전호로2번길 28,감정동 598-70,37.621337,126.703969,,,031-980-2348,도로관리과,2021-09-29
