"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"걸산동001",1,,경기도 동두천시 걸산동 93-4,37.92110663,127.10313961,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동002",1,,경기도 동두천시 걸산동 97-1,37.92134419,127.10035111,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동003",1,,경기도 동두천시 걸산동 86,37.92144750,127.09886151,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동004",1,,경기도 동두천시 걸산동 190,37.92119839,127.09785011,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동006",1,,경기도 동두천시 걸산동 189,37.92158950,127.09645831,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동007",1,,경기도 동두천시 걸산동 185-3,37.92222840,127.09757801,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동008",1,,경기도 동두천시 걸산동 185-4,37.92258890,127.09750211,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동009",1,,경기도 동두천시 걸산동 185,37.92312880,127.09729181,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동010",1,,경기도 동두천시 걸산동 산 105,37.92338361,127.09771521,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동011",1,,경기도 동두천시 걸산동 산 105,37.92361983,127.09858801,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동012",1,,경기도 동두천시 걸산동 104,37.92413949,127.09979351,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동013",1,,경기도 동두천시 걸산동 107-1,37.92497429,127.10071301,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동014",1,,경기도 동두천시 걸산동 107,37.92556391,127.10123991,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동015",1,,경기도 동두천시 걸산동 68-2,37.92571039,127.10306361,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동015(연접)",1,,경기도 동두천시 걸산동 68-2,37.92572810,127.10301381,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동016",1,,경기도 동두천시 걸산동 68-2,37.92551600,127.10410291,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동017",1,,경기도 동두천시 걸산동 73-2,37.92542130,127.10476181,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동018",1,,경기도 동두천시 걸산동 74,37.92555250,127.10583151,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동019",1,,경기도 동두천시 걸산동 63-1,37.92547767,127.10680921,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동020",1,,경기도 동두천시 걸산동 50-14,37.92683360,127.10615581,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동021",1,,경기도 동두천시 걸산동 58,37.92628260,127.10749291,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동024",1,,경기도 동두천시 걸산동 산 79,37.92774660,127.10771571,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동025",1,,경기도 동두천시 걸산동 50-11,37.92799061,127.10683111,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동026",1,,경기도 동두천시 걸산동 산 101,37.92490339,127.10519181,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동027(분전함)",1,,경기도 동두천시 걸산동 산 113-9,37.92253913,127.09568061,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동029",1,,경기도 동두천시 걸산동 183-3,37.92366099,127.09511851,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동030",1,,경기도 동두천시 걸산동 183-3,37.92402749,127.09472641,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동031",1,,경기도 동두천시 걸산동 181-2,37.92402780,127.09404841,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동032",1,,경기도 동두천시 걸산동 180-1,37.92356240,127.09325321,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동033",1,,경기도 동두천시 걸산동 산 113-9,37.92298770,127.09547581,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동034",1,,경기도 동두천시 걸산동 190-3,37.92180850,127.09710751,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동035",1,,경기도 동두천시 걸산동 100-1,37.92128900,127.10161091,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동036",1,,경기도 동두천시 걸산동 73-3,37.92425100,127.10550391,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동037",1,,경기도 동두천시 걸산동 산 86,37.92588530,127.10688381,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동038",1,,경기도 동두천시 걸산동 58,37.92661479,127.10829361,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동039",1,,경기도 동두천시 걸산동 58,37.92672950,127.10878401,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동042",1,,경기도 동두천시 걸산동 26-1,37.92581880,127.10999801,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동043",1,,경기도 동두천시 걸산동 산 87-2,37.92646790,127.10970451,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동044",1,,경기도 동두천시 걸산동 31-1,37.92680436,127.10943621,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동045",1,,경기도 동두천시 걸산동 58,37.92697360,127.10920361,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동046",1,,경기도 동두천시 걸산동 50-5,37.92704810,127.10826011,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"걸산동047",1,,경기도 동두천시 걸산동 50-29,37.92744250,127.10795131,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동001",1,,경기도 동두천시 광암동 513,37.89357690,127.08407791,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동002",1,,경기도 동두천시 광암동 512-18,37.89446640,127.08414141,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동003",1,,경기도 동두천시 광암동 512-17,37.89462739,127.08409801,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동004",1,,경기도 동두천시 광암동 512-17,37.89489260,127.08415361,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동005",1,,경기도 동두천시 광암동 512-2,37.89445050,127.08473891,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동006(연접)",1,,경기도 동두천시 광암동 512-22,37.89416292,127.08478901,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동007",1,,경기도 동두천시 광암동 497-12,37.89477688,127.08493551,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동008",1,,경기도 동두천시 광암동 506,37.89434720,127.08587721,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동009",1,,경기도 동두천시 광암동 507,37.89407419,127.08561951,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동010",1,,경기도 동두천시 광암동 188,37.89400309,127.08592721,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동011",1,,경기도 동두천시 광암동 194-21,37.89489246,127.08675891,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동012",1,,경기도 동두천시 광암동 497-16,37.89478130,127.08457771,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동013",1,,경기도 동두천시 광암동 496,37.89494819,127.08369171,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동014",1,,경기도 동두천시 광암동 485-1,37.89572181,127.08367031,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동015",1,,경기도 동두천시 광암동 491-24,37.89561703,127.08383271,,건축물,031-860-2296,동두천시청 도로과,2021-09-01
"광암동016",1,,경기도 동두천시 광암동 486-32,37.89592760,127.08427091,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동017",1,,경기도 동두천시 광암동 486-4,37.89582400,127.08399061,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동018",1,,경기도 동두천시 광암동 494-19,37.89588629,127.08446401,,건축물,031-860-2296,동두천시청 도로과,2021-09-01
"광암동019",1,,경기도 동두천시 광암동 484-3,37.89606929,127.08318841,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동020",1,,경기도 동두천시 광암동 485-25,37.89570420,127.08279791,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동021",1,,경기도 동두천시 광암동 518,37.89441276,127.08341731,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동022",1,,경기도 동두천시 광암동 487-53,37.89797760,127.08238511,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동023",1,,경기도 동두천시 광암동 산 95-6,37.89777329,127.08205241,,전용주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동024",1,,경기도 동두천시 광암동 486-41,37.89620950,127.08434431,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
"광암동025",1,,경기도 동두천시 광암동 486-40,37.89653577,127.08424781,,건축물,031-860-2296,동두천시청 도로과,2021-09-01
"광암동026",1,,경기도 동두천시 광암동 494-67,37.89642569,127.08467181,,한전주,031-860-2296,동두천시청 도로과,2021-09-01
