"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"상동 100",1,경기도 부천시 부일로307번길 11,경기도 부천시 상동 317-5봉성빌라 가동건너편 아파트공사장담벽위치,,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"상동 181",1,경기도 부천시 장말로200번길 7,경기도 부천시 상동 236-1 옥상 위치,,,,건축물,032-625-5513,경기도 부천시청,2019-09-10
"상동 33",1,경기도 부천시 부일로308번길 16,경기도 부천시 상동 326-22 앞 코너 위치,,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"상동 166",1,경기도 부천시 장말로216번길 32,경기도 부천시 상동 238-3 (237-26건너편 우남아파트 가동앞 위치),,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"상동 83",1,경기도 부천시 석천로30번길 63-1,경기도 부천시 상동 246-59 앞 위치,,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"사랑꿈동산마을 05",1,,경기도 부천시 상동 사랑마을 보행자도로 1611동과 공원사이,,,,전용주,032-625-5513,경기도 부천시청,2019-09-10
"경기도 부천시 소사구 역곡3동 116-7",1,,경기도 부천시 경기도 부천시 소사구 역곡3동 116-7,,,2014,,032-625-6877,경기도 부천시청,2019-09-10
"역곡3동 126-7 (1)",1,경기도 부천시 부광로 13,경기도 부천시 역곡3동 126-7 (1),,,2009,,032-625-7033,경기도 부천시청,2019-09-10
"역곡3동 120-12(대성아파트 앞)",1,경기도 부천시 안곡로 117,경기도 부천시 역곡3동 120-12(대성아파트 앞),,,2002,,032-625-7035,경기도 부천시청,2019-09-10
"역곡3동 119-19",1,경기도 부천시 경인로498번길 89,경기도 부천시 역곡3동 119-19,,,1986,,032-625-7037,경기도 부천시청,2019-09-10
"역곡3동 190-20",1,경기도 부천시 경인로577번가길 2,경기도 부천시 역곡3동 190-20,,,2009,,032-625-7039,경기도 부천시청,2019-09-10
"역곡3동 203-1",1,경기도 부천시 경인로577번가길 54,경기도 부천시 역곡3동 203-1,,,1986,,032-625-7041,경기도 부천시청,2019-09-10
"상동 91",1,경기도 부천시 부일로 287-18,경기도 부천시 상동 318-8 상동 어린이집앞 위치,,,,한전주,032-625-5513,경기도 부천시청,2019-09-10
"괴안동 89-4",1,경기도 부천시 안곡로 54,경기도 부천시 괴안동 89-4,,,1986,,032-625-6823,경기도 부천시청,2019-09-10
"괴안동 99 (171-9 앞)",1,,경기도 부천시 괴안동 99 (171-9 앞),,,1986,,032-625-6803,경기도 부천시청,2019-09-10
"괴안동 33",1,경기도 부천시 안곡로 22,경기도 부천시 괴안동 33,,,1986,,032-625-6805,경기도 부천시청,2019-09-10
"괴안동 31-18번지 앞",1,경기도 부천시 안곡로16번길 48,경기도 부천시 괴안동 31-18번지 앞,,,2002,,032-625-6669,경기도 부천시청,2019-09-10
"괴안동 110-16 앞",1,경기도 부천시 범안로7번길 63,경기도 부천시 괴안동 110-16 앞,,,1986,,032-625-6808,경기도 부천시청,2019-09-10
"괴안동 95-10",1,경기도 부천시 범안로45번길 42,경기도 부천시 괴안동 95-10,,,1986,,032-625-6810,경기도 부천시청,2019-09-10
"괴안동 90",1,경기도 부천시 안곡로 41,경기도 부천시 괴안동 90,,,2005,,032-625-6812,경기도 부천시청,2019-09-10
"괴안동 164-6",1,,경기도 부천시 괴안동 164-6,,,2007,,032-625-6814,경기도 부천시청,2019-09-10
"괴안동 33",1,경기도 부천시 안곡로 22,경기도 부천시 괴안동 33,,,2007,,032-625-6827,경기도 부천시청,2019-09-10
"소사본1동-305",1,,경기도 부천시 소사본1동 162-44,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-073",1,,경기도 부천시 소사본1동 151-50,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-018",1,,경기도 부천시 소사본1동 148-54,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-135",1,,경기도 부천시 소사본1동 211-14,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-220",1,,경기도 부천시 소사본1동 210-8,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-003",1,,경기도 부천시 소사본1동 148-59 (건물옥상),,,1987,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-228",1,,경기도 부천시 소사본1동 209-19,,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-311",1,,경기도 부천시 소사본1동 산60-4,,,2007,,032-625-6262,경기도 부천시청,2019-09-10
"상동 308",1,경기도 부천시 상이로85번길 7-19,경기도 부천시 상2동577-4호와5호사이폴주,,,,전용주,032-625-5885,경기도 부천시청,2019-09-10
"소사본2동-250",1,경기도 부천시 경인옛로 61,경기도 부천시 소사본동 65-12,,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-156",1,,경기도 부천시 소사본1동 171-7 (171-24 앞),,,,,032-625-6262,경기도 부천시청,2019-09-10
"소사본1동-210",1,,경기도 부천시 소사본1동 210-18 (건물옥상),,,1986,,032-625-6262,경기도 부천시청,2019-09-10
"원미동 156",1,경기도 부천시 원미로124번길 49 (원미동),경기도 부천시 원미1동 165-29,,,,,032-625-5386,경기도 부천시청,2019-09-10
"괴안동 39-4",1,경기도 부천시 범안로8번길 6,경기도 부천시 괴안동 39-4,,,1986,,032-625-6771,경기도 부천시청,2019-09-10
"괴안동 132-3",1,경기도 부천시 안곡로86번길 17,경기도 부천시 괴안동 132-3,,,2008,,032-625-6773,경기도 부천시청,2019-09-10
