"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"심곡동",1,경기도 성남시 수정구 심곡로45번길 17-1,경기도 성남시 수정구 심곡동 363-3번지,37.4498741,127.0989234,,,031-729-5461,성남시 수정구청,2021-08-31
"심곡동",1,경기도 성남시 수정구 심곡로45번길 19,경기도 성남시 수정구 심곡동 363-4번지,37.44989976,127.0987422,,,031-729-5461,성남시 수정구청,2021-08-31
"성남여중앞",1,,경기도 성남시 수정구 신흥동 81-3번지,37.44980022,127.1423469,,,031-729-5461,성남시 수정구청,2021-08-31
"복정동,703-1 앞 도로담장",1,경기도 성남시 수정구 성남대로1390번길 40,경기도 성남시 수정구 복정동 703-1번지,37.45357372,127.130956,,,031-729-5461,성남시 수정구청,2021-08-31
"금현마을25 우3번",1,,경기도 성남시 수정구 금토동 64번지,37.41934607,127.0790436,,,031-729-5461,성남시 수정구청,2021-08-31
"금현마을24 중간2번",1,,경기도 성남시 수정구 금토동 64번지,37.41934607,127.0790436,,,031-729-5461,성남시 수정구청,2021-08-31
"금현마을23 좌1번",1,,경기도 성남시 수정구 금토동 64번지,37.41934607,127.0790436,,,031-729-5461,성남시 수정구청,2021-08-31
"금토동,금현마을22 우3번",1,경기도 성남시 수정구 달래내로207번길 44-3,경기도 성남시 수정구 금토동 63번지,37.41897895,127.0793418,,,031-729-5461,성남시 수정구청,2021-08-31
"금토동,금현마을21 중간2번",1,경기도 성남시 수정구 달래내로207번길 44-3,경기도 성남시 수정구 금토동 63번지,37.41897895,127.0793418,,,031-729-5461,성남시 수정구청,2021-08-31
"금토동,금현마을20 좌1번",1,경기도 성남시 수정구 달래내로207번길 44-3,경기도 성남시 수정구 금토동 63번지,37.41897895,127.0793418,,,031-729-5461,성남시 수정구청,2021-08-31
"금현마을19 우3번",1,,경기도 성남시 수정구 금토동 91번지,37.41808315,127.0800193,,,031-729-5461,성남시 수정구청,2021-08-31
"금현마을18 중간2번",1,,경기도 성남시 수정구 금토동 91번지,37.41808315,127.0800193,,,031-729-5461,성남시 수정구청,2021-08-31
"금현마을17 좌1번",1,,경기도 성남시 수정구 금토동 91번지,37.41808315,127.0800193,,,031-729-5461,성남시 수정구청,2021-08-31
"금토동,금현마을16 우3번",1,경기도 성남시 수정구 달래내로207번길 21,경기도 성남시 수정구 금토동 94번지,37.41750084,127.0804557,,,031-729-5461,성남시 수정구청,2021-08-31
"금토동,금현마을15 중간2번",1,경기도 성남시 수정구 달래내로207번길 21,경기도 성남시 수정구 금토동 94번지,37.41750084,127.0804557,,,031-729-5461,성남시 수정구청,2021-08-31
"금토동,금현마을14 좌1번",1,경기도 성남시 수정구 달래내로207번길 21,경기도 성남시 수정구 금토동 94번지,37.41750084,127.0804557,,,031-729-5461,성남시 수정구청,2021-08-31
"태평동",1,경기도 성남시 수정구 태평로108번길 11-1,경기도 성남시 수정구 태평동 1558번지,37.45003599,127.1388292,,,031-729-5461,성남시 수정구청,2021-08-31
"태평동,외벽",1,경기도 성남시 수정구 남문로 133,경기도 성남시 수정구 태평동 2255번지,37.44826042,127.1412455,,,031-729-5461,성남시 수정구청,2021-08-31
