"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"계수동20S051",1,,경기도 시흥시 계수동 278-8,,,,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20S057",1,경기도 시흥시 범안로305번길 6,,37.4556823861,126.8168629297,2018,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20S058",1,경기도 시흥시 범안로305번길9,,37.4560114283,126.8171492063,2011,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U001",1,경기도 시흥시 범안로266번길34,,37.4589576530,126.8101823566,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U002",1,경기도 시흥시 범안로266번길32,,37.4589450464,126.8105239579,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U003",1,경기도 시흥시 범안로390,,,,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U004",1,경기도 시흥시 범안로266번길22-1,,37.4590058917,126.8111600373,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U005",1,경기도 시흥시 범안로266번길22-1,,37.4590058917,126.8111600373,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U006",1,,경기도 시흥시 계수동 299,,,,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U007",1,경기도 시흥시 범안로266번길22-1,,37.4590058917,126.8111600373,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U008",1,경기도 시흥시 범안로266번길22-1,,37.4590058917,126.8111600373,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U009",1,경기도 시흥시 범안로266번길40-1,,37.4589051305,126.8095703322,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U010",1,경기도 시흥시 범안로266번길40-6,,37.4589743842,126.8100530107,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U011",1,경기도 시흥시 범안로40-3,,,,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U012",1,경기도 시흥시 범안로266번길42,,37.4587859584,126.8093663939,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U013",1,경기도 시흥시 범안로266번길42,,37.4587859584,126.8093663939,2019,,031-310-3144,경기도 시흥시청,2021-06-01
"계수동20U014",1,경기도 시흥시 범안로266번길39-1,,37.4586095216,126.8092989125,2019,,031-310-3144,경기도 시흥시청,2021-06-01
