"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1-001,1,경기도 안산시 상록구 매화로2길 35,경기도 안산시 상록구 일동 661-10,37.303724,126.863560,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-002,1,경기도 안산시 상록구 매화로2길 37,경기도 안산시 상록구 일동 661-9,37.303800,126.863954,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-003,1,경기도 안산시 상록구 매화로2길 39-5,경기도 안산시 상록구 일동 661-8,37.303990,126.864030,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-004,1,경기도 안산시 상록구 매화로 39-13,경기도 안산시 상록구 일동 661-5,37.304269,126.864048,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-005,1,경기도 안산시 상록구 매화로2길 39-17,경기도 안산시 상록구 일동 661-3,37.304521,126.864056,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-006,1,경기도 안산시 상록구 매화로3길 33,경기도 안산시 상록구 일동 660-11,37.304928,126.864219,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-007,1,경기도 안산시 상록구 매화로2길 43-21,경기도 안산시 상록구 일동 662-1,37.304805,126.864537,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-008,1,경기도 안산시 상록구 매화로2길 43-19,경기도 안산시 상록구 일동 662-2,37.304661,126.864539,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-009,1,경기도 안산시 상록구 매화로2길 43-17,경기도 안산시 상록구 일동 662-3,37.304454,126.864531,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-010,1,경기도 안산시 상록구 매화2길 43-9,경기도 안산시 상록구 일동 662-6,37.304184,126.864523,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-011,1,경기도 안산시 상록구 매화로2길 43-1,경기도 안산시 상록구 일동 662-8,37.303787,126.864507,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-012,1,경기도 안산시 상록구 매화로2길 43-1,경기도 안산시 상록구 일동 662-8,37.303661,126.864497,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-013,1,경기도 안산시 상록구 매화로2길 45,경기도 안산시 상록구 일동 663-15,37.303726,126.864767,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-014,1,경기도 안산시 상록구 매화로2길 51,경기도 안산시 상록구 일동 663-11,37.303678,126.865377,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-015,1,경기도 안산시 상록구 매화로2길 53,경기도 안산시 상록구 일동 663-10,37.303563,126.865616,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-016,1,경기도 안산시 상록구 매화로3길 60,경기도 안산시 상록구 일동 663-8,37.303639,126.866032,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-017,1,경기도 안산시 상록구 매화로3길 61,경기도 안산시 상록구 일동 667-8,37.303523,126.866158,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-018,1,경기도 안산시 상록구 매화로3길 60,경기도 안산시 상록구 일동 663-8,37.303729,126.866019,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-019,1,경기도 안산시 상록구 매화로3길 58,경기도 안산시 상록구 일동 663-7,37.303953,126.865847,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-020,1,경기도 안산시 상록구 매화로3길 58-3,경기도 안산시 상록구 일동 663-5,37.303977,126.865576,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-021,1,경기도 안산시 상록구 매화로 58-9,경기도 안산시 상록구 일동 663-4,37.303992,126.865271,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-022,1,경기도 안산시 상록구 매화로3길 58-17,경기도 안산시 상록구 일동 663-1,37.304016,126.864921,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-023,1,경기도 안산시 상록구 매화로3길 52-13,경기도 안산시 상록구 일동 664-1,37.304358,126.864814,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-024,1,경기도 안산시 상록구 매화로3길 52-9,경기도 안산시 상록구 일동 664-2,37.304343,126.865153,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-025,1,경기도 안산시 상록구 매화로3길 54,경기도 안산시 상록구 일동 664-5,37.304337,126.865536,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-026,1,경기도 안산시 상록구 매화로3길 53,경기도 안산시 상록구 일동 667,37.304132,126.865765,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-027,1,경기도 안산시 상록구 석삼말로 21-1,경기도 안산시 상록구 일동 667-1,37.304414,126.866031,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-029,1,경기도 안산시 상록구 매화로3길 47-1,경기도 안산시 상록구 일동 666-11,37.304761,126.865553,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-030,1,경기도 안산시 상록구 매화로3길 46,경기도 안산시 상록구 일동 665-4,37.304812,126.865270,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-031,1,경기도 안산시 상록구 매화로3길 44,경기도 안산시 상록구 일동 665-3,37.304820,126.865089,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-032,1,경기도 안산시 상록구 매화로3길 42,경기도 안산시 상록구 일동 665-1,37.304826,126.864818,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-033,1,경기도 안산시 상록구 매화로 52,경기도 안산시 상록구 일동 660-6,37.305134,126.864983,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-034,1,경기도 안산시 상록구 매화로 51,경기도 안산시 상록구 일동 659-8,37.305314,126.864991,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-035,1,경기도 안산시 상록구 실록3길 1,경기도 안산시 상록구 일동 656-7,37.305738,126.865019,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-036,1,경기도 안산시 상록구 실록1길 12,경기도 안산시 상록구 일동 659-7,37.305711,126.864963,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-037,1,경기도 안산시 상록구 실록1길 10,경기도 안산시 상록구 일동 659-5,37.305725,126.864557,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-038,1,경기도 안산시 상록구 실록1길 4-1,경기도 안산시 상록구 일동 659-2,37.305738,126.864117,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-039,1,경기도 안산시 상록구 안산대학로 36,경기도 안산시 상록구 일동 657-10,37.305770,126.863665,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-040,1,경기도 안산시 상록구 실록1길 5,경기도 안산시 상록구 일동 657-9,37.305918,126.864091,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-041,1,경기도 안산시 상록구 실록2길 10,경기도 안산시 상록구 일동 656-10,37.306168,126.864731,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-042,1,경기도 안산시 상록구 실록2길 10-3,경기도 안산시 상록구 일동 656-9,37.305843,126.864702,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-043,1,경기도 안산시 상록구 실록2길 14,경기도 안산시 상록구 일동 656-13,37.306315,126.865055,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-044,1,경기도 안산시 상록구 실록길 6,경기도 안산시 상록구 일동 656,37.306417,126.865302,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-045,1,경기도 안산시 상록구 안산대학로 54,경기도 안산시 상록구 일동 657,37.306677,126.865208,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-046,1,경기도 안산시 상록구 실록2길 20,경기도 안산시 상록구 일동 651-9,37.361686,126.879179,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-047,1,경기도 안산시 상록구 실록2길 22-1,경기도 안산시 상록구 일동 651-11,37.306783,126.865917,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-048,1,경기도 안산시 상록구 실록1길 39,경기도 안산시 상록구 일동 651,37.307076,126.866375,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-049,1,경기도 안산시 상록구 실록2길 32,경기도 안산시 상록구 일동 653,37.307295,126.866699,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-050,1,경기도 안산시 상록구 실록2길 30,경기도 안산시 상록구 일동 653-22,37.307131,126.866521,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-051,1,경기도 안산시 상록구 실록3길 16,경기도 안산시 상록구 일동 652-1,37.306662,126.866472,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-052,1,경기도 안산시 상록구 실록3길 12,경기도 안산시 상록구 일동 652-8,37.306406,126.866092,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-053,1,경기도 안산시 상록구 실록3길 8,경기도 안산시 상록구 일동 655,37.306168,126.865723,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-054,1,경기도 안산시 상록구 실록3길 6-1,경기도 안산시 상록구 일동 655-10,37.306021,126.865387,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-055,1,경기도 안산시 상록구 실록3길 4,경기도 안산시 상록구 일동 655-8,37.305910,126.865140,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-056,1,경기도 안산시 상록구 실록1길 13,경기도 안산시 상록구 일동 655-7,37.305695,126.865245,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-057,1,경기도 안산시 상록구 실록1길 17-1,경기도 안산시 상록구 일동 655-4,37.305673,126.865787,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-058,1,경기도 안산시 상록구 실록길 16,경기도 안산시 상록구 일동 654-1,37.305696,126.866306,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-059,1,경기도 안산시 상록구 실록1길 21,경기도 안산시 상록구 일동 655-2,37.305919,126.865998,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-060,1,경기도 안산시 상록구 실록1길 25,경기도 안산시 상록구 일동 652-5,37.306001,126.866120,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-061,1,경기도 안산시 상록구 실록1길 29,경기도 안산시 상록구 일동 652-3,37.306228,126.866354,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-062,1,경기도 안산시 상록구 실록1길 31,경기도 안산시 상록구 일동 652-2,37.306501,126.866621,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-063,1,경기도 안산시 상록구 실록1길 35,경기도 안산시 상록구 일동 652,37.306710,126.866809,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-064,1,경기도 안산시 상록구 웃말5길 1,경기도 안산시 상록구 일동 623-8,37.306897,126.870326,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-065,1,경기도 안산시 상록구 웃말5길 3-1,경기도 안산시 상록구 일동 623-7,37.306692,126.870521,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-066,1,경기도 안산시 상록구 웃말5길 9,경기도 안산시 상록구 일동 624-6,37.306442,126.870784,,한전주,031-481-5489,안산시 상록구청,2021-08-31
1-067,1,경기도 안산시 상록구 웃말5길 9-1,경기도 안산시 상록구 일동 624-12,37.306191,126.870923,,한전주,031-481-5489,안산시 상록구청,2021-08-31
