"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1군도001,1,경기도 연천군 왕징면 군왕로 242번길 5,경기도 연천군 왕징면 북삼리 384-5,38.0912671443,126.9935389031,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도002,1,경기도 연천군 연천읍 청연로 396,경기도 연천군 연천읍 고문리 290,38.0605676499,127.1144039262,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도003,1,경기도 연천군 전곡읍 청연로 287,경기도 연천군 전곡읍 신답리 148-1,38.0533027981,127.1078389285,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도004,1,경기도 연천군 전곡읍 청연로 279번길 2,경기도 연천군 전곡읍 신답리 98,38.0527203362,127.1083467923,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도005,1,경기도 연천군 전곡읍 청연로 270,경기도 연천군 전곡읍 신답리90-2,38.0521901453,127.1094155,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도006,1,경기도 연천군 전곡읍 청연로 266,경기도 연천군 전곡읍 신답리 90-7,38.05179558,127.109376,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도007,1,경기도 연천군 전곡읍 청연로 262,경기도 연천군 전곡읍 신답리89-1,38.0510787212,127.1095634465,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도008,1,경기도 연천군 전곡읍 청연로 262,경기도 연천군 전곡읍 신답리89-1,38.0510787212,127.1095634465,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도009,1,경기도 연천군 전곡읍 청연로 256,경기도 연천군 전곡읍 신답리 89-10,38.0508806494,127.1093261731,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도010,1,경기도 연천군 전곡읍 청연로 164,경기도 연천군 전곡읍 신답리 17-17,38.0429970899,127.1132727012,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도011,1,경기도 연천군 전곡읍 청연로 154,경기도 연천군 전곡읍 신답리 17-3,38.04258422,127.1134513589,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도026,1,경기도 연천군 청산면 청연로 34,경기도 연천군 청산면 궁평리 562-6,38.03522828,127.103673,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도027,1,경기도 연천군 청산면 청연로 30-4,경기도 연천군 청산면 궁평리 537-3,38.0349133630,127.1033113767,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도028,1,경기도 연천군 청산면 청연로 25,경기도 연천군 청산면 궁평리 576-6,38.0349071054,127.1028167,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도029,1,경기도 연천군 청산면 청연로 8,경기도 연천군 청산면 궁평리 581-5,38.0331016193,127.1029870523,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도030,1,경기도 연천군 전곡읍 청연로 292,경기도 연천군 전곡읍 신답리 154-5,38.0537992340,127.1082001515,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도031,1,경기도 연천군 전곡읍 청연로 210-35,경기도 연천군 전곡읍 신답리 775,38.0478675513,127.1123479393,2015,한전주,031-839-2797,연천군청,2021-11-08
1군도032,1,경기도 연천군 전곡읍 청연로 200-40,경기도 연천군 전곡읍 신답리 791,38.0458936505,127.1130798473,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도029,1,경기도 연천군 청산면 청신로 179,경기도 연천군 청산면 초성리 96-2,37.9885588644,127.0770951597,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도030,1,경기도 연천군 청산면 청신로 192,경기도 연천군 청산면 초성리 83-2,37.9876785554,127.0777932,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도031,1,경기도 연천군 청산면 청신로 202,경기도 연천군 청산면 초성리 83-5,37.9876277817,127.0790860523,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도032,1,경기도 연천군 청산면 청신로 212,경기도 연천군 청산면 초성리 83,37.9877146566,127.0801138399,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도033,1,경기도 연천군 청산면 청신로 222,경기도 연천군 청산면 초성리 70-2,37.9877310271,127.0812034780,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도034,1,경기도 연천군 청산면 청신로 228,경기도 연천군 청산면 초성리 62-1,37.9878142074,127.0819477042,2015,한전주,031-839-2797,연천군청,2021-11-08
368지방도035,1,경기도 연천군 청산면 청신로 234번길 15,경기도 연천군 청산면 초성리 산 35-7,37.9877205903,127.0834996144,2015,한전주,031-839-2797,연천군청,2021-11-08
