"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"중로1류-27",1,,경기도 오산시 궐동 714,37.1604325,127.0541081,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16305257,127.0542333,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16332398,127.0542282,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16361181,127.0542242,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16385659,127.0542194,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16384293,127.0532527,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16385085,127.0535842,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16385621,127.0539357,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16360928,127.0540451,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16332814,127.0540482,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16305613,127.0540219,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-27",1,,경기도 오산시 궐동 714,37.16383985,127.0528999,2002,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15825259,127.0630405,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15826262,127.0633481,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15825656,127.0636517,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15824555,127.0639551,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15823433,127.0642321,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15837691,127.0642383,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15838942,127.0639561,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15839935,127.063664,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15841152,127.063357,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15845181,127.063036,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15842642,127.0644295,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15795496,127.0644807,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.158498,127.0611581,2004,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15971002,127.058141,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15961936,127.0584002,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1595056,127.0586455,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.1593702,127.0588671,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
"중로1류-43",1,,경기도 오산시 궐동 715,37.15914686,127.0593354,1989,한전주,031-8036-7703,경기도 오산시,2021-08-10
