"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가능동 344-6",1,,경기도 의정부시 가능동 344-1,37.75065321,127.0334538,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 344-3",1,,경기도 의정부시 가능동 344-3,37.750392,127.0332126,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 672-9",1,,경기도 의정부시 가능동 672-5,37.75035134,127.0336409,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 294-7",1,,경기도 의정부시 가능동 294-7,37.75017357,127.0330082,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 302-16",1,,경기도 의정부시 가능동 673,37.74994389,127.0327812,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 672-29",1,,경기도 의정부시 가능동 672-29,37.74990774,127.0331783,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-4",1,,경기도 의정부시 가능동 673-4,37.74971871,127.0325598,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-8",1,,경기도 의정부시 가능동 673-8,37.74947101,127.0323356,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-51",1,,경기도 의정부시 가능동 673-51,37.74920529,127.0320859,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-11",1,,경기도 의정부시 가능동 673-11,37.74972534,127.0330279,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 682-1",1,,경기도 의정부시 가능동 682-1,37.74901377,127.0322957,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-36",1,,경기도 의정부시 가능동 673-38,37.74916014,127.0324461,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-23",1,,경기도 의정부시 가능동 673-26,37.74946638,127.0327639,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-28",1,,경기도 의정부시 가능동 673-30,37.74923664,127.032744,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-55",1,,경기도 의정부시 가능동 673-55,37.74900679,127.0331155,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-18",1,,경기도 의정부시 가능동 673-18,37.74917342,127.0332914,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-14",1,,경기도 의정부시 가능동 673-17,37.74934687,127.033249,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 673-15",1,,경기도 의정부시 가능동 673-15,37.74938058,127.0335156,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 672-60",1,,경기도 의정부시 가능동 672-60,37.74945939,127.0335951,,,031-828-2964,경기도 의정부시청,2021-09-30
"가능동 672-44",1,,경기도 의정부시 가능동 672-44,37.74960125,127.0337313,,,031-828-2964,경기도 의정부시청,2021-09-30
