"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"호법면신36",1,,경기도 이천시 호법면 주미리 12-3,37.21664162,127.4286678332,2021,,031-644-8552,경기도 이천시청,2021-12-06
"호법면신41",1,,경기도 이천시 호법면 주미리 42-2,37.2146397168,127.4281297,2021,,031-644-8552,경기도 이천시청,2021-12-06
"장능3리",1,,경기도 이천시 설성면 장능리 748,37.11887461,127.5143420892,2021,,031-644-8674,경기도 이천시청,2021-12-06
"이황리",1,,경기도 이천시 장호원읍 이황리 436-38,37.1576255434,127.5768008205,2021,,031-644-8423,경기도 이천시청,2021-12-06
"고담동",1,경기도 이천시 진상미로 2158,경기도 이천시 고담동 492-7번지,37.2399765881,127.4505404928,2021,,031-644-8764,경기도 이천시청,2021-12-06
"풍계1리3",1,경기도 이천시 장호원읍 경충대로256번길 14,경기도 이천시 장호원읍 풍계리 959-4번지,37.1327678458,127.6049436392,2021,,031-644-8423,경기도 이천시청,2021-12-06
"풍계1리6",1,경기도 이천시 장호원읍 경충대로 260,경기도 이천시 장호원읍 풍계리 924-4번지,37.13268086,127.6041849659,2021,,031-644-8423,경기도 이천시청,2021-12-06
"풍계2리11",1,경기도 이천시 장호원읍 이풍로385번길 25-26,경기도 이천시 장호원읍 풍계리 599번지,37.1555743847,127.6119767,2021,,031-644-8423,경기도 이천시청,2021-12-06
"설성면신83",1,경기도 이천시 설성면 진상미로813번길 199,경기도 이천시 설성면 수산리 453-8번지,37.1307605791,127.5021956767,2021,,031-644-8674,경기도 이천시청,2021-12-06
"설성면신89",1,경기도 이천시 설성면 진상미로867번길 34-8,경기도 이천시 설성면 수산리 383-1번지,37.1407516858,127.4979314115,2021,,031-644-8674,경기도 이천시청,2021-12-06
"설성면신94",1,,경기도 이천시 설성면 수산리 376-7,37.14150871,127.4994379,2021,,031-644-8674,경기도 이천시청,2021-12-06
"설성면신99",1,,경기도 이천시 설성면 수산리 459-6,37.13562789,127.4944026,2021,,031-644-8674,경기도 이천시청,2021-12-06
"소고1-11",1,경기도 이천시 모가면 공원로175번길 33-18,경기도 이천시 모가면 소고리 198번지,37.1849983637,127.4578366584,2021,,031-644-8645,경기도 이천시청,2021-12-06
"송정동신40",1,,경기도 이천시 송정동 90-36,37.29340942,127.4459044597,2021,,031-644-8745,경기도 이천시청,2021-12-06
"송정동신45",1,,경기도 이천시 송정동 60-1,37.29704675,127.446571,2021,,031-644-8745,경기도 이천시청,2021-12-06
"송정동신48",1,경기도 이천시 증신로248번길 132-30,경기도 이천시 송정동 55-7번지,37.2976526918,127.4482570577,2021,,031-644-8745,경기도 이천시청,2021-12-06
"수정리16",1,경기도 이천시 부발읍 황무로1833번길 335-43,경기도 이천시 부발읍 수정리 166-1번지,37.2570008,127.5291438282,2021,,031-644-8463,경기도 이천시청,2021-12-06
"수정리20",1,경기도 이천시 부발읍 황무로1833번길 370-16,경기도 이천시 부발읍 수정리 235-1번지,37.2563185321,127.5327886,2021,,031-644-8463,경기도 이천시청,2021-12-06
"수정리24",1,,경기도 이천시 부발읍 수정리 419,37.2608633232,127.5285290139,2021,,031-644-8463,경기도 이천시청,2021-12-06
"수정리30",1,,경기도 이천시 부발읍 수정리 55-5,37.2648590867,127.5191510171,2021,,031-644-8463,경기도 이천시청,2021-12-06
"송온리7",1,,경기도 이천시 부발읍 송온리 510,37.2526063965,127.5255681400,2021,,031-644-8463,경기도 이천시청,2021-12-06
"송온리8",1,경기도 이천시 부발읍 황무로1965번길 258,경기도 이천시 부발읍 송온리 80번지,37.2524312254,127.5274369808,2021,,031-644-8463,경기도 이천시청,2021-12-06
"송정동신02",1,경기도 이천시 증신로345번길 45,경기도 이천시 송정동 207-1번지,37.30154802,127.4353855563,2021,,031-644-8745,경기도 이천시청,2021-12-06
"송정동신07",1,경기도 이천시 증신로325번길 82-22,경기도 이천시 송정동 269-5번지,37.3004592218,127.4334032373,2021,,031-644-8745,경기도 이천시청,2021-12-06
"송온리36",1,경기도 이천시 부발읍 황무로 1859-149,경기도 이천시 부발읍 송온리 198번지,37.2549784511,127.5239861995,2021,,031-644-8463,경기도 이천시청,2021-12-06
"수산1리25",1,경기도 이천시 설성면 진상미로924번길 160-12,경기도 이천시 설성면 수산리 산6-3번지,37.1472238953,127.5024887756,2021,,031-644-8674,경기도 이천시청,2021-12-06
"수산2리31",1,,경기도 이천시 설성면 수산리 528,37.1393996991,127.5023827,2021,,031-644-8674,경기도 이천시청,2021-12-06
"수산2리5",1,경기도 이천시 설성면 진상미로867번길 70,경기도 이천시 설성면 수산리 388-2번지,37.1391543966,127.4990168,2021,,031-644-8674,경기도 이천시청,2021-12-06
"수산3리12",1,,경기도 이천시 설성면 수산리 456-8,37.1361031901,127.4950132,2021,,031-644-8674,경기도 이천시청,2021-12-06
"수산3리16",1,,경기도 이천시 설성면 수산리 481-17,37.1368409243,127.4931271,2021,,031-644-8674,경기도 이천시청,2021-12-06
"수산3리6",1,,경기도 이천시 설성면 수산리 748-18,37.13759168,127.4943917721,2021,,031-644-8674,경기도 이천시청,2021-12-06
"수정리13",1,,경기도 이천시 부발읍 수정리 171-1,37.2559922881,127.5300699,2021,,031-644-8463,경기도 이천시청,2021-12-06
"송정동신10",1,경기도 이천시 증신로325번길 97-1,경기도 이천시 송정동 272번지,37.2998920329,127.4331064,2021,,031-644-8745,경기도 이천시청,2021-12-06
"송정동신12",1,경기도 이천시 증신로325번길 128,경기도 이천시 송정동 271-4번지,37.2994339204,127.4324726071,2021,,031-644-8745,경기도 이천시청,2021-12-06
