"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"감북동",1,,경기도 하남시 감북동 459-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동459-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동459-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동459-1,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동459-1,,,,전용주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동449-3,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동450-5,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동451-2,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동451-4,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동451-18,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동산 123-10,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-101,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-13,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-63,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동413-76,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
"감북동",1,,경기도 하남시 감북동409-8,,,,한전주,031-790-6155,경기도 하남시청 도로관리과,2022-07-04
