"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
2001-01-02,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.5635203138,126.9780189096,2015,전용주,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-03,1,서울특별시 중구 세종대로18길 16,서울특별시 중구 북창동 35,37.5635203138,126.9780189096,2015,전용주,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-07,2,서울특별시 중구 세종대로14길 17-5,서울특별시 중구 북창동 18-7,37.5630828214,126.9777066478,2020,건축물,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-08,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.5629442476,126.9777037463,2018,건축물,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-09,1,서울특별시 중구 세종대로14길 17,서울특별시 중구 북창동 18-12,37.5629442476,126.9777037463,2018,건축물,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-12,1,서울특별시 중구 남대문로5길 39,서울특별시 중구 소공동 117,37.5631341649,126.9786086037,2015,전용주,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-13,1,서울특별시 중구 세종대로16길 27,서울특별시 중구 북창동 11-3,37.5633801958,126.9784369443,2015,한전주,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-14,1,서울특별시 중구 남대문로5길 49,서울특별시 중구 북창동 5-2,37.5635633199,126.9786660925,2015,건축물,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-15,1,서울특별시 중구 세종대로18길 24,서울특별시 중구 북창동 14-5,37.5636417632,126.9784816905,2015,건축물,02-3396-6152,중구청 도로시설과,2021-10-18
2001-01-17,1,서울특별시 중구 세종대로18길 32,서울특별시 중구 소공동 112-5,37.5637251873,126.9789362210,2015,전용주,02-3396-6152,중구청 도로시설과,2021-10-18
